key	english	french	russian	bulgarian
Conversations/Festival Lines/Holt/harvest_festival/harvest_festival_0/init	Ahh, the Harvest Festival. The one day of the year when a fellow can ask for thirds and no one bats an eye.	Aaah, la fête des récoltes. C'est le seul jour de l'année où l'on peut demander trois fois du rab sans se faire rabrouer.	Ах, этот Фестиваль урожая. Единственный день в году, когда можно просить третью добавку, и всем всё равно.	Ahh, the Harvest Festival. The one day of the year when a fellow can ask for thirds and no one bats an eye.
Conversations/Festival Lines/Holt/shooting_star/shooting_star_anticipation/1	The first time I invited Nora to watch the stars, I knew I was ready to star-t a relationship!	La première fois que j'ai invité Nora à regarder les étoiles, je savais que c'est elle que j'allais regarder avec des... étoiles dans les yeux !	Когда я впервые пригласил Нору смотреть на звёзды, я сразу понял, что падаю в отношения!	The first time I invited Nora to watch the stars, I knew I was ready to star-t a relationship!
Conversations/Festival Lines/Holt/shooting_star/shooting_star_anticipation/init	Hey there, [Ari]! Thinking about inviting someone to the Shooting Star Festival?	Bonjour, [Ari] ! Tu envisages d'inviter quelqu'un à la fête des étoiles filantes ?	Привет, [Ari]! У тебя есть кто-то на примете на Фестиваль падающих звёзд?	Hey there, [Ari]! Thinking about inviting someone to the Shooting Star Festival?
Conversations/Festival Lines/Holt/shooting_star/shooting_star_celine_follow_up_holt/1	It seems like it was only yesterday that I'd have to lift her up on my shoulder so she could watch them.	J'ai l'impression qu'hier encore, il fallait que je la porte sur mes épaules pour qu'elle puisse les voir.	А кажется, будто так недавно я ещё сажал её на плечи, чтобы ей было лучше видно.	It seems like it was only yesterday that I'd have to lift her up on my shoulder so she could watch them.
Conversations/Festival Lines/Holt/shooting_star/shooting_star_celine_follow_up_holt/init	Celine... Did she really go up to the Summit to watch the stars this year...?	Céline... Elle est vraiment allée jusqu'au sommet pour regarder les étoiles, cette année...?	Селин... Неужто в этом году она уже ходила на Вершину смотреть на звёзды?..	Celine... Did she really go up to the Summit to watch the stars this year...?
Conversations/Festival Lines/Holt/shooting_star/shooting_star_day_of/1	It should be pretty stellar.	Il va y avoir une quantité d'étoiles... astronomique.	Обещают звёздное шоу!	It should be pretty stellar.
Conversations/Festival Lines/Holt/shooting_star/shooting_star_day_of/init	Are you looking forward to tonight's festival?	Tu as hâte que la fête de ce soir commence ?	Ждёшь сегодняшний фестиваль?	Are you looking forward to tonight's festival?
Conversations/Festival Lines/Holt/spring_festival/bee_pun/init	What an unbeelievable turnout! The air is practically buzzing!	Quel monde, c'est la foule des grands jours ! Mais de nuit !	Какая неожукновенная толпа! Воздух так и жужжит разговорами!	What an unbeelievable turnout! The air is practically buzzing!
Conversations/Festival Lines/Holt/spring_festival/no_place/init	Festival is a bit quiet this year, but I'm sure next year will be better.	La fête est plutôt calme, c'est année, mais je suis sûr que ça ira mieux l'an prochain.	Фестиваль в этом году получился тихий, но я уверен, в следующий раз будет лучше.	Festival is a bit quiet this year, but I'm sure next year will be better.
Conversations/Festival Lines/Josephine/animal_festival/animal_festival_greeting/1	If you're looking to enter one of your animals into either of the brackets, you can do so at the booths behind me!	Si tu veux inscrire l'un de tes animaux dans l'une des deux catégories du concours, tu peux le faire sur les stands situés derrière moi !	Если хочешь выставить своё животное на один из конкурсов, ты можешь сделать это в одном из киосков за моей спиной.	If you're looking to enter one of your animals into either of the brackets, you can do so at the booths behind me!
Conversations/Festival Lines/Josephine/animal_festival/animal_festival_greeting/2	A little tip, I hear the judging panel's biggest considerations are how high the animal's heart level is, and how rare their coat color is.	Petit conseil : il paraît que ce que les juges prennent surtout en compte, c'est le nombre de cœurs de chaque animal et la rareté de la couleur de leur manteau.	Небольшой совет: я слышала, что жюри в основном обращают внимание на то, сколько у животного сердечек и насколько редкий у него окрас.	A little tip, I hear the judging panel's biggest considerations are how high the animal's heart level is, and how rare their coat color is.
Conversations/Festival Lines/Josephine/animal_festival/animal_festival_greeting/3	Once you're ready, come talk to me again and we'll start the judging!	Quand tu voudras participer, reviens me parler et le jury délibérera !	Когда будешь <p>готовы</p><f>готова</f><m>готов</m><n>готово</n>, сообщи мне, и мы начнём проводить конкурс!	Once you're ready, come talk to me again and we'll start the judging!
Conversations/Festival Lines/Josephine/animal_festival/animal_festival_greeting/init	Welcome to the Animal Festival, [Ari]!	Bienvenue à la fête des animaux, [Ari] !	Добро пожаловать на Фестиваль животных, [Ari]!	Welcome to the Animal Festival, [Ari]!
Conversations/Festival Lines/Josephine/harvest_festival/harvest_festival_0/1	Now I get to help her out!	Maintenant, c'est à mon tour de l'aider !	А теперь я помогаю ей!	Now I get to help her out!
Conversations/Festival Lines/Josephine/harvest_festival/harvest_festival_0/init	Reina has always helped me out at the Harvest Festival kitchen from the time she was little.	Reina m'a toujours aidée à faire la cuisine pour la fête des récoltes depuis qu'elle est toute petite.	Рейна всегда помогала мне с готовкой для Фестиваля урожая, с самого детства.	Reina has always helped me out at the Harvest Festival kitchen from the time she was little.
Conversations/Festival Lines/Josephine/harvest_festival/harvest_festival_anticipation/1	And now it's Reina's turn to run the kitchen. How time flies!	Désormais, c'est à Reina de reprendre le flambeau. Comme le temps passe vite !	И вот уже пришёл черёд Рейны заведовать кухней. Как летит время!	And now it's Reina's turn to run the kitchen. How time flies!
Conversations/Festival Lines/Josephine/harvest_festival/harvest_festival_anticipation/init	It seems like just yesterday I was taking over the $Harvest Festival$ kitchen from my mother. I couldn't have been prouder...	J'ai l'impression que c'était hier que j'ai succédé à ma mère pour préparer le repas de la $fête des récoltes$. J'étais si fière...	Как будто ещё вчера моя мать передавала мне кухню на $Фестивале урожая$. Я так гордилась...	It seems like just yesterday I was taking over the $Harvest Festival$ kitchen from my mother. I couldn't have been prouder...
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_anticipation/1	Whether you watch it solo or with a date, it really is a magical experience.	Qu'on les admire en solo ou avec une personne en particulier, c'est vraiment une expérience magique.	Можно смотреть с парой или в одиночестве, но ощущение всегда совершенно волшебное.	Whether you watch it solo or with a date, it really is a magical experience.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_anticipation/init	Planning to celebrate the Shooting Star Festival, [Ari]?	Tu as prévu de célébrer la fête des étoiles filantes, [Ari] ?	Планируешь отмечать Фестиваль падающих звёзд, [Ari]?	Planning to celebrate the Shooting Star Festival, [Ari]?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_anticipation_no_summit/1	It might not be possible to view them from the Summit with a date this year, but we can still enjoy the atmosphere around town with friends and family!	Il ne sera pas possible de les admirer à deux depuis le sommet, cette année, mais on peut quand même profiter de l'ambiance en ville avec des amis et de la famille !	В этом году не получится пойти смотреть звёзды с парой на Вершину, но всё равно можно почувствовать атмосферу фестиваля в городе среди семьи и друзей!	It might not be possible to view them from the Summit with a date this year, but we can still enjoy the atmosphere around town with friends and family!
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_anticipation_no_summit/init	Looking forward to the Shooting Star Festival, [Ari]?	Il te tarde que la fête des étoiles filantes commence, [Ari] ?	Ты ждёшь Фестиваль падающих звёзд, [Ari]?	Looking forward to the Shooting Star Festival, [Ari]?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_balor_8h_follow_up_josephine/1	It means I can worry less... about both of you!	Ça veut dire que j'ai moins de souci à me faire... pour vous deux !	Ведь это значит, что я могу не волноваться... за вас обоих.	It means I can worry less... about both of you!
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_balor_8h_follow_up_josephine/init	It does my heart good to see you and Balor taking care of each other.	Vous voir prendre soin l'un de l'autre, Balor et toi, c'est une bonne chose pour mon cœur.	Когда я вижу, как вы с Балором заботитесь друг о друге, у меня сердце радуется.	It does my heart good to see you and Balor taking care of each other.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_balor_follow_up_josephine/init	I noticed the light was on in Balor's room late into the night... Maybe he couldn't sleep?	J'ai remarqué que la lumière était restée allumée tard dans la chambre de Balor, la nuit dernière... Peut-être qu'il n'arrivait pas à dormir ?	Я заметила свет в комнате Балора поздно ночью... Может, ему не спалось?	I noticed the light was on in Balor's room late into the night... Maybe he couldn't sleep?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_day_of/1	She always makes some snacks to enjoy while we watch the stars!	Elle prépare toujours des choses à grignoter en regardant les étoiles !	Она всегда заботится, чтобы у нас был перекус, когда мы пойдём смотреть на звёзды.	She always makes some snacks to enjoy while we watch the stars!
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_day_of/init	Reina was busy in the kitchen again this morning.	Reina a encore été occupée en cuisine, ce matin.	Рейна этим утром снова хлопотала на кухне.	Reina was busy in the kitchen again this morning.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/1	Ah... well, I suppose you wouldn't know, would you?	Ah... Eh bien, tu ne pouvais pas le savoir, bien sûr.	А... ну да, тебе же было неоткуда узнать.	Ah... well, I suppose you wouldn't know, would you?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/2	Despite how things might seem, March hasn't always had it easy. He and Olric lost their parents pretty young, back when they were still new to town.	Cela n'en a peut-être pas l'air, mais ça n'a pas toujours été facile, pour March. Lui et Olric ont perdu leurs parents assez jeunes, alors qu'ils venaient d'arriver en ville.	Хотя сейчас так не скажешь, Марту когда-то пришлось непросто. Они с Ольриком рано потеряли родителей, ещё когда они только приехали в город.	Despite how things might seem, March hasn't always had it easy. He and Olric lost their parents pretty young, back when they were still new to town.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/3	Don't let March's attitude get to you, [Ari]. He's been through a lot, and he's a kinder person than he lets on...	Ne te laisse pas affecter par l'attitude de March, [Ari]. Il a vécu beaucoup de choses difficiles et il est bien plus gentil qu'il ne le laisse paraître...	Не обращай внимания на его заносчивость, [Ari]. Март прошёл через трудные времена, и на самом деле он добрее, чем готов показать.	Don't let March's attitude get to you, [Ari]. He's been through a lot, and he's a kinder person than he lets on...
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/4	You just have to give him time.	Il faut juste lui laisser le temps.	Просто нужно дать ему время.	You just have to give him time.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/init	Oh, you wanted to ask me something? What is it, dear?	Oh, tu voulais me poser une question ? Je t'écoute !	О, у тебя какой-то вопрос? В чём дело, дорогуша?	Oh, you wanted to ask me something? What is it, dear?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/init/prompts/0	What exactly is the deal with March?	C'est quoi, le problème, avec March ?	Что с Мартом не так?	What exactly is the deal with March?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_march_follow_up_josephine/init/prompts/1	Is there something I should know about March's family?	Est-ce qu'il y a quelque chose que je devrais savoir à propos de la famille de March ?	У Марта с семьёй какие-то сложности, о которых мне следует знать?	Is there something I should know about March's family?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_reina_follow_up_josephine/1	Did you have a nice time with Reina yesterday?	Tu as passé un bon moment avec Reina, hier ?	Вы с Рейной вчера хорошо провели вечер?	Did you have a nice time with Reina yesterday?
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_reina_follow_up_josephine/2	Thanks for making sure to walk her home.	Merci de l'avoir raccompagnée à la maison.	Спасибо, что <p>проводили</p><f>проводила</f><m>проводил</m><n>проводило</n> её до дома.	Thanks for making sure to walk her home.
Conversations/Festival Lines/Josephine/shooting_star/shooting_star_reina_follow_up_josephine/init	Hi, [Ari]!	Salut, [Ari] !	Привет, [Ari]!	Hi, [Ari]!
Conversations/Festival Lines/Josephine/spring_festival/enjoying_yourself/init	Hope you're enjoying everything the festival has to offer, [Ari]! I know I am!	J'espère que tu profites de tout ce que la fête a à offrir, [Ari] ! Parce que moi, oui !	Надеюсь, тебе на этом фестивале весело, [Ari]! Мне точно весело!	Hope you're enjoying everything the festival has to offer, [Ari]! I know I am!
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/1	I offered to magic him up some opposable thumbs so he could do it himself, but he turned me down.	Je lui ai proposé de recourir à la magie pour lui greffer des pouces opposables et lui permettre de le signer lui-même, mais il a refusé.	Я предложила наколдовать ему парочку пальцев, чтобы он сам подписал, но он отказался.	I offered to magic him up some opposable thumbs so he could do it himself, but he turned me down.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/2	How about you, [Ari]? Extra pair of opposable thumbs? Free of charge.	Et toi, [Ari] ? Deux pouces opposables supplémentaires, ça te tente ? C'est gratuit.	А ты что думаешь, [Ari]? Не хочешь ещё пару пальцев? Совершенно бесплатно.	How about you, [Ari]? Extra pair of opposable thumbs? Free of charge.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/2/prompts/0	That sure would be handy!	Pouce, je réfléchis...	Мне это будет очень на руку!	That sure would be handy!
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/2/prompts/1	I think I'll pass.	Je crois que je vais décliner.	Пожалуй, я пас.	I think I'll pass.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/3	Oooh, what a terrible pun! My offer is rescinded.	Oooh, quel jeu de mots atroce ! Je retire ma proposition.	О-ох, какая ужасная шутка! Предложение отменяется.	Oooh, what a terrible pun! My offer is rescinded.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/4	Just let me know if you change your mind.	Fais-moi signe si tu changes d'avis.	Что ж, сообщи мне, если передумаешь.	Just let me know if you change your mind.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_0/init	Dozy asked me to sign his permission form to enter the large animal bracket.	Dozy m'a demandé de signer le formulaire l'autorisant à participer au concours pour les animaux de grande taille.	Дрёма попросил меня подписать разрешение вступить в конкурс крупных животных.	Dozy asked me to sign his permission form to enter the large animal bracket.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_chicken_cutout/1	I suppose you'll have to do, [Ari].	Je vais devoir me contenter de toi, [Ari].	Что ж, ты тоже сойдёшь, [Ari].	I suppose you'll have to do, [Ari].
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_chicken_cutout/init	Aren't these cutouts charming? A pity Dozy is too short to join me.	Elles sont charmantes, ces silhouettes, non ? Dommage que Dozy soit trop petit pour venir avec moi.	Эти вырезанные картинки соверешенно очаровательные. Жаль, Дрёма слишком низкий, чтоюы встать со мной.	Aren't these cutouts charming? A pity Dozy is too short to join me.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_first/1	Well done on your superior animal raising skills.	Bravo pour tes capacités hors du commun dans l'élevage d'animaux.	Отличная работа по воспитанию животных лучше меня.	Well done on your superior animal raising skills.
Conversations/Festival Lines/Juniper/animal_festival/animal_festival_first/init	I suppose congratulations are in order.	Des félicitations s'imposent, je crois.	Полагаю, тебя следует поздравлять.	I suppose congratulations are in order.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_0/1	Of COURSE Mistria would throw a festival and give them away for free.	Ailleurs qu'à Mistria, on n'organiserait pas de fête, sans même parler de les donner.	НУ КОНЕЧНО, в Мистрии решили устроить фестиваль, где их раздают бесплатно!	Of COURSE Mistria would throw a festival and give them away for free.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_0/2	At least it makes my research into them easier.	Enfin, ça me facilite les recherches.	Зато мне так проще будет их исследовать.	At least it makes my research into them easier.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_0/init	Strange berries containing traces of magic...	Des baies étranges imprégnées de magie...	Необычные ягоды с явными следами магии...	Strange berries containing traces of magic...
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_anticipation/1	They're odd, don't you think?	Elles sont étranges, non ?	Ты тоже думаешь, что они весьма странные?	They're odd, don't you think?
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_anticipation/2	Everyone in Mistria takes them for granted, but I'm sensing an undercurrent of old, old magic...	Pour les habitants de Mistria, elles font partie du folklore, mais je sens une magie très ancienne en elles...	В Мистрии все их принимают как должное, но я чувствую глубокую, очень-очень старую магию...	Everyone in Mistria takes them for granted, but I'm sensing an undercurrent of old, old magic...
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_anticipation/init	These $Queen Berries$...	Ces $baies de la reine$...	Это $королевские ягоды$...	These $Queen Berries$...
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/1	I assume that you too could feel their mysterious, latent magical properties.	Je suppose que toi aussi tu sens leur mystérieux potentiel magique.	Полагаю, ты тоже чувствуешь их таинственный магический потенциал.	I assume that you too could feel their mysterious, latent magical properties.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/2	Come, [Ari]. Reveal to me the $Queen Berries$ secrets.	Allez, [Ari]. Révèle-moi le secret des $baies de la reine$.	Ну скажи, [Ari]. Раскрой же мне секрет $королевских ягод$.	Come, [Ari]. Reveal to me the $Queen Berries$ secrets.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/2/prompts/0	They, uh... they taste good.	Elles, euh... Elles sont très bonnes.	Они, эээ... очень вкусные.	They, uh... they taste good.
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/2/prompts/1	If you turn in enough of them, you get neat prizes!	Si tu en cueilles plein, tu reçois une récompense !	Если их набрать побольше, то получишь неплохую награду!	If you turn in enough of them, you get neat prizes!
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/3	...	...	...	...
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/4	Forget I asked, [Ari].	Laisse tomber, [Ari].	Забудь, что я спросила, [Ari].	Forget I asked, [Ari].
Conversations/Festival Lines/Juniper/harvest_festival/harvest_festival_place_follow_up/init	Congratulations on collecting all those berries.	Tu as récolté beaucoup de baies, félicitations.	Поздравляю, тебе удалось собрать эти ягоды.	Congratulations on collecting all those berries.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_8h_follow_up/1	Let's do it again next year.	Refaisons ça l'an prochain.	Давай повторим в следующем году.	Let's do it again next year.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_8h_follow_up/init	I had fun last night, [Ari].	Je me suis amusée hier soir, [Ari].	Мне вчера всё понравилось, [Ari].	I had fun last night, [Ari].
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_anticipation/1	This Shooting Star Festival... I'm interested to see it for myself.	Cette fête des étoiles filantes... Je suis curieuse de la voir de mes propres yeux.	Фестиваль падающих звёзд... Мне самой будет любопытно посмотреть.	This Shooting Star Festival... I'm interested to see it for myself.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_anticipation/init	It seems that it's almost time for another of the village's quaint gatherings...	On dirait que c'est bientôt le moment pour l'un de ces rassemblements pittoresques dont la ville a le secret...	Кажется, скоро снова состоится одно из колоритных местных празденств...	It seems that it's almost time for another of the village's quaint gatherings...
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up/1	Don't tell me... you simply can't stop thinking about last night, right?	Ne me dis rien... Tu n'arrêtes pas de penser à la soirée d'hier, c'est ça ?	Только не говори что... не можешь забыть вчерашнюю ночь, да?	Don't tell me... you simply can't stop thinking about last night, right?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up/2	Oh ho ho ho!	Oh ho ho ho !	О-хо-хо-хо!	Oh ho ho ho!
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up/init	Well, if it isn't [Ari]!	Tiens, mais c'est [Ari] !	Неужто это [Ari]!	Well, if it isn't [Ari]!
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up_not_invited/1	Did you notice anything unusual last night, [Ari]?	As-tu remarqué quelque chose d'inhabituel hier soir, [Ari] ?	Ты <p>заметили</p><f>заметила</f><m>заметил</m><n>заметило</n> вчера что-нибудь необычное, [Ari]?	Did you notice anything unusual last night, [Ari]?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up_not_invited/2	Like... energetically?	En termes... d'énergie, j'entends.	В плане... энергетики?	Like... energetically?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up_not_invited/3	It seems the shooting stars warrant some additional studying next year.	J'ai l'impression que les étoiles filantes méritent que je les étudie davantage l'année prochaine.	Кажется, звездопад заслуживает более детального изучения в следующем году.	It seems the shooting stars warrant some additional studying next year.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_follow_up_not_invited/init	Hmmm...	Hmm...	Хммм...	Hmmm...
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_invited/1	This lot are going to look after Dozy tonight.	Ce petit groupe va veiller sur Dozy, ce soir.	Эти ребята сегодня присмотрят за Дрёмой.	This lot are going to look after Dozy tonight.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_invited/2	Are you ready to go to the Summit?	<he>Prêt à</he><she>Prête à</she><they>Tu te sens de</they> grimper jusqu'au sommet ?	Ты <p>готовы</p><f>готова</f><m>готов</m><n>готово</n> пойти на Вершину?	Are you ready to go to the Summit?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_invited/init	There you are, [Ari].	Te voilà, [Ari].	Вот ты где, [Ari].	There you are, [Ari].
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_invited_anticipation/1	You better not be late.	Tu n'as pas intérêt à être en retard.	Смотри не опоздай.	You better not be late.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_invited_anticipation/init	I'll see you at 8 pm...	On se voit à 20 h...	Увидимся в 8 вечера...	I'll see you at 8 pm...
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_missed_follow_up/1	What kind of joke were you playing at, not showing up last night?	À quoi tu joues ? Tu as brillé par ton absence, hier soir !	Ты что <p>вздумали</p><f>вздумала</f><m>вздумал</m><n>вздумало</n> вчера подшутить надо мной и не прийти?	What kind of joke were you playing at, not showing up last night?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_missed_follow_up/2	You'd better have a good excuse!	J'espère que tu as une bonne excuse !	Надеюсь, у тебя есть достойное оправдание!	You'd better have a good excuse!
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_missed_follow_up/init	[Ari]...!	[Ari]...!	[Ari]...!	[Ari]...!
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_not_invited/1	The stars appear to hold immense power tonight, [Ari].	Les étoiles semblent contenir un pouvoir immense, ce soir, [Ari].	Сегодня в звёздах будто есть особенная сила, [Ari].	The stars appear to hold immense power tonight, [Ari].
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_not_invited/init	Impressive...	Impressionnant...	Впечатляюще...	Impressive...
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_A/1	Bringing me trinkets, treats, etcetera.	Tu m'apportes des babioles, des douceurs, et cetera.	Приносишь мне подарки, еду и прочее.	Bringing me trinkets, treats, etcetera.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_A/2	Dozy suggested that I return the favor... so I cooked up a little something for you to eat.	Dozy m'a suggéré de te rendre la pareille... alors j'ai cuisiné un petit quelque chose pour toi.	Дрёма предложил тебе отплатить... так что я приготовила тебе кое-что поесть.	Dozy suggested that I return the favor... so I cooked up a little something for you to eat.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_A/3	I-it isn't really supposed to look like that... but I'm sure it still tastes excellent.	Ce... Ce n'est pas censé ressembler à ça... mais je suis sûre que c'est quand même délicieux.	Вообще- Вообще вид должен быть другой... но я уверена, что вкус всё равно отличный.	I-it isn't really supposed to look like that... but I'm sure it still tastes excellent.
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_A/init	I'm aware that you're always thinking about me, [Ari]...	J'ai conscience que tu es toujours en train de penser à moi, [Ari]...	Я знаю, что ты только обо мне и думаешь, [Ari]...	I'm aware that you're always thinking about me, [Ari]...
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_B/1	W-what? Why are you looking at me like that?	Q-Quoi ? Pourquoi tu me regardes comme ça ?	Ч-что? Почему ты на меня так смотришь?	W-what? Why are you looking at me like that?
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_B/2	Forget I said anything!	Oublie ce que j'ai dit !	Всё, забудь, что я говорила!	Forget I said anything!
Conversations/Festival Lines/Juniper/shooting_star/shooting_star_romantic_follow_up_B/init	Hmm, you look nice today, [Ari].	Hmm, tu es en beauté, aujourd'hui, [Ari].	Хмм, хорошо сегодня выглядишь, [Ari].	Hmm, you look nice today, [Ari].
Conversations/Festival Lines/Juniper/spring_festival/first_place/1	Oh ho ho!	Ho ho ho !	О-хо-хо!	Oh ho ho!
Conversations/Festival Lines/Juniper/spring_festival/first_place/init	Congrats, I suppose. It's nice to see you embracing the rustic traditions that make Mistria so positively... quaint.	Félicitations, hein. C'est sympa de te voir embrasser les traditions campagnardes qui font de Mistria un lieu si... pittoresque.	Видимо, тебя стоит поздравить. Рада, что ты усваиваешь деревенские традиции, придающие Мистрии особый... колорит.	Congrats, I suppose. It's nice to see you embracing the rustic traditions that make Mistria so positively... quaint.
Conversations/Festival Lines/Juniper/spring_festival/middle_place_high_hearts/1	Oh ho ho!	Ho ho ho !	О-хо-хо!	Oh ho ho!
Conversations/Festival Lines/Juniper/spring_festival/middle_place_high_hearts/init	It's nice that you let Celine win, you can see how much it means to her.	C'est gentil d'avoir laissé Céline gagner, il est évident que c'est très important pour elle.	Мило с твоей стороны позволить Селин победить, мы же знаем, как для неё это важно.	It's nice that you let Celine win, you can see how much it means to her.
Conversations/Festival Lines/Juniper/spring_festival/middle_place_low_hearts/1	Oh ho ho!	Ho ho ho !	О-хо-хо!	Oh ho ho!
Conversations/Festival Lines/Juniper/spring_festival/middle_place_low_hearts/init	Well it seems you had fun picking flowers! How lovely.	Eh bien, on dirait que c'était amusant de cueillir des fleurs ! C'est charmant.	Вижу, тебе понравилось собирать цветы! Очень мило.	Well it seems you had fun picking flowers! How lovely.
Conversations/Festival Lines/Juniper/spring_festival/no_place/1	Oh ho ho!	Ho ho ho !	О-хо-хо!	Oh ho ho!
Conversations/Festival Lines/Juniper/spring_festival/no_place/2	Alright, I'm done. You can go now.	Bien, j'ai terminé. Tu peux partir, maintenant.	Я всё сказала. Можешь идти.	Alright, I'm done. You can go now.
Conversations/Festival Lines/Juniper/spring_festival/no_place/init	Oh dear, the new farmer couldn't place in the flower gathering contest?	Allons bon, <she>notre nouvelle fermière n'a pas réussi à se</she><he>notre nouveau fermier n'a pas réussi à se</he><they>tu n'as pas réussi à te</they> qualifier pour le concours de cueillette de fleurs ?	Какая жалость, неужели <p>приезжие</p><f>приезжая</f><m>приезжий</m><n>приезжее</n> не <p>заняли</p><f>заняла</f><m>занял</m><n>заняло</n> ни одного места в сборе цветов?	Oh dear, the new farmer couldn't place in the flower gathering contest?
Conversations/Festival Lines/Juniper/spring_festival/surprise/init	Isn't this festival a pleasant surprise? It's nice to see Dozy enjoying himself.	Cette fête est une agréable surprise, non ? C'est sympa de voir Dozy s'amuser.	Этот фестиваль — приятная неожиданность, правда? Я радуюсь, что Дрёме тут нравится.	Isn't this festival a pleasant surprise? It's nice to see Dozy enjoying himself.
Conversations/Festival Lines/Landen/animal_festival/animal_festival_0/1	What would Mistria do without me?	Qu'est-ce que Mistria ferait sans moi ?	Что бы Мистрия без меня делала?	What would Mistria do without me?
Conversations/Festival Lines/Landen/animal_festival/animal_festival_0/2	Anyway, if you want to enter a small animal into the competition, put their info into the ledger right there!	Quoi qu'il en soit, si tu veux faire participer un animal de petite taille au concours, note les informations nécessaires dans le registre qui est juste là !	Если хочешь выставить мелкое животное на конкурс, нужно внести его в этот журнал.	Anyway, if you want to enter a small animal into the competition, put their info into the ledger right there!
